Filename,DIMBOA,DIMBOA-Glc,DIBOA,HDBOA-Glc,HDMBOA-Glc,InternalStandard
348,1553330.509,286247.9402,1684.464713,9687589.782,660809.5036,16239716.3
349,8475382.204,1221880.619,12462.99517,16921957.34,972056.3126,15518278.62
350,966058.1089,128479.4395,1904.889572,4422965.772,239741.7462,17924668.52
351,55989470.62,2276801.678,243356.0619,25029244.72,19796196.28,42166142.51
352,295449101.5,4999271.197,44788.21026,53630498.76,39571710.97,44420782.43
353,26536758.52,3793485.021,6846.837144,73921411.48,56838449.14,62919734.36
355,34263362.18,3265591.336,4310.049423,61261254.49,51970285.52,54408903.38
356,20634107.27,4730400.363,19133.81135,65575012.51,51769821.61,51259269.45
357,164979154.2,4762852.288,347956.9456,24814257.7,25993984.81,49000234.81
358,5021572.282,1602510.957,16664.27343,36821664.42,27792258.53,33654424.22
359,29302683.31,4054971.722,16082.63665,75543321.25,55501739.71,60240063.98
360,38992238.63,4900101.848,9943.709785,58300867.87,32170299.51,53549024.45
control,NF,NF,NF,NF,NF,18492.7017
control2,31550357.62,12078590.17,23694.00939,119483888.6,94103668.67,38577606.05
control3,51479137.6,9302036.497,20708.15145,94151638,70542861.54,52286547.45
control4,41092676.02,6925387.378,413079.9366,63938590.72,53648100.24,47509547.24
control5,50926870.1,7153835.94,7536.373654,66605857.29,51885004.29,47640955.42
control6,25878466.29,5440217.331,5014.233303,52874199.57,41718122.67,43240222
control7,38322130.01,5156654.991,5306.237796,47542005.76,37033305.7,40733153.84
control8,37077401.7,5112038.191,10549.15065,46882134.42,38055446.72,43064457.67
control9,29465518.93,4990906.515,128319.9267,45020447.72,37454737.34,40780440.01
control10,38837339.24,3552790.914,5440.696178,30941117.73,29413218.63,37266648.89
control11,28414986.41,4972121.404,3672.897793,44892584.78,36600331.66,46005949.06
control12,40911804.04,4736532.053,3534.199047,45602124.6,35906135.92,45270620.78
control13,20348421,2835218.158,7070.42758,27800811.62,23281453.07,26583661.98
control14,12362080.73,1954876.708,105375.3949,19881635.64,17366949.41,20338305.49
control15,43380206.25,3958791.514,257658.6388,34774980.11,30819739.4,43565975.51
control16,36631381.43,4004619.697,311697.7625,34828327.2,31175582.39,44675494.42
control17,16409245.79,1739487.028,2233.020827,17581220.16,15648313.31,19712209.91
control18,47839107.38,5549825.499,2974.869386,43953943.3,37881585.14,58042718.13
MEOH2,58496.26401,1271.606224,2365.931502,NF,NF,86903082.17
MEOH3,65526.29892,NF,2229.926193,NF,NF,72547141.11
MEOH4,61000.43936,NF,1812.275825,2139.896957,NF,60423455.84
DIBOA,NF,6135.731755,859296.1939,142133.684,245512.318,2710887.151
